"AREA_PERMESSI_VISUALIZZAZIONE__C","AREA__C","AZIENDA_PERMESSI_VISUALIZZAZIONE__C","CREATEDBYID","CREATEDDATE","ETICHETTA_EN__C","ETICHETTA_GENITORE__C","ETICHETTA_IT__C","ETICHETTA_RIDOTTA_EN__C","ETICHETTA_RIDOTTA_IT__C","GENITORE__C","GRUPPO__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NO_TREND__C","ORDINE_RISULTATI_DEALER__C","ORDINE_RISULTATI_MANAGER__C","OWNERID","PESO_GENITORE__C","PRIORITA_VISUALIZZAZIONE__C","SYSTEMMODSTAMP","TIPOLOGIA_GRAFICO__C","TIPOLOGIA__C","VISUALIZZABILE_DA_DEALER_IN__C","VISUALIZZABILE_DA_MANAGER_IN__C"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Dealer Organization","","Organizzazione Dealer","","","","a4o0E0000000iYzQAI","a4r0E000000DGmnQAG","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000035","","8.0","8.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Company Health","","Stato dell'azienda","","","","a4o0E0000000iYzQAI","a4r0E000000DGmoQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000036","","9.0","9.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","",""
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Strategic Alignment vs TMI","","Allineamento strategico vs TMI","","","","a4o0E0000000iYzQAI","a4r0E000000DGmpQAG","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000037","","10.0","10.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales;Marketing;Sales;TIM;TFS","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Trust in TMI Management","","Fiducia nel Management TMI","","","","a4o0E0000000iYzQAI","a4r0E000000DGmqQAG","false","0050E000000SMCWQA4","2020-01-16T13:40:05.000Z","","","R-0000038","","11.0","11.0","0050E000005VHptQAG","","2.0","2020-01-16T13:40:05.000Z","","Raggruppamento","Dealer Insight","Motivation Insight"
"After Sales;Marketing;Sales;TIM;TFS","Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Sales Target","","Obiettivi di vendita","","","","a4o0E0000000iYzQAI","a4r0E000000DGmrQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000039","","12.0","12.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","A/S Target","","Obiettivi post-vendita","","","","a4o0E0000000iYzQAI","a4r0E000000DGmsQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000040","","13.0","13.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","Marketing","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","Sales Communication","","Comunicazione vendita","","","","a4o0E0000000iYzQAI","a4r0E000000DGmtQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000041","","14.0","14.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","After Sales","TMI","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","A/S Marketing","","Campagne Marketing Post-Vendita","","","","a4o0E0000000iYzQAI","a4r0E000000DGmuQAG","false","0050E000000SMCWQA4","2019-12-16T09:35:51.000Z","","","R-0000042","","15.0","15.0","0050E000005VHptQAG","","2.0","2019-12-16T09:35:51.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","TFS","TFS","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","TFS Campaigns","","Campagne TFS","","","","a4o0E0000000iYzQAI","a4r0E000000DGmvQAG","false","0050E000000SMCWQA4","2019-12-16T10:44:40.000Z","","","R-0000043","","16.0","16.0","0050E000005VHptQAG","","2.0","2019-12-16T10:44:40.000Z","","Raggruppamento","","Business Insight"
"After Sales;Marketing;Sales;TIM;TFS","TIM","TIM","0050E000005VHptQAG","2019-09-09T09:19:09.000Z","TIM Campaigns","","Campagne TIM","","","","a4o0E0000000iYzQAI","a4r0E000000DGmwQAG","false","0050E000000SMCWQA4","2019-12-16T09:42:21.000Z","","","R-0000044","","17.0","17.0","0050E000005VHptQAG","","2.0","2019-12-16T09:42:21.000Z","","Raggruppamento","","Business Insight"
